Bauer and Köhne method,Bauer-Köhne 方法,,,,,,,,,,,,,,
Bayes criterion,贝叶斯准则、贝叶斯指标,,,,,,,,,,,,,,
Bayes factor,贝叶斯因子,,,,,,,,,,,,,,
Bayes' theorem,贝叶斯定理,,,,,,,,,,,,,,
Bayesian approach,贝叶斯方法,,,,,,,,,,,,,,
Bayesian basket design,贝叶斯篮式设计,,,,,,,,,,,,,,
Bayesian hierarchical model,贝叶斯层级模型,,,,,,,,,,,,,,
Bayesian Method,贝叶斯方法,,,,,,,,,,,,,,
Bayesian method,贝叶斯方法,,,,,,,,,,,,,,
Bayesian predictive power,贝叶斯预测效能、后验平均效能,,,,,,,,,,,,,,
Bayesian sample size calculation,贝叶斯法样本量计算,,,,,,,,,,,,,,
Bayesian Shrinkage Estimator,贝叶斯收缩估计量,,,,,,,,,,,,,,
Bayesian significance,贝叶斯显著性,,,,,,,,,,,,,,
benefit-risk analysis,获益风险分析,,,,,,,,,,,,,,
Benefit-risk Ratio,获益-风险比,,,,,,,,,,,,,,
benefit-risk ratio,获益风险比,,,,,,,,,,,,,,
"Best Supportive Care, BSC",最佳支持治疗,,,,,,,,,,,,,,
beta distribution,β分布、贝塔分布,,,,,,,,,,,,,,
beta error,β类错误、II 型错误、II 类错误,,,,,,,,,,,,,,
between sum of square,组间平方和,,,,,,,,,,,,,,
between-group,组间,,,,,,,,,,,,,,
between-group variance,组间方差,,,,,,,,,,,,,,
Bias,偏倚,,,,,,,,,,,,,,
bias,偏倚,,,,,,,,,,,,,,
bias due to misclassification,分类错误导致的偏差,,,,,,,,,,,,,,
bias factor,偏差因子,,,,,,,,,,,,,,
bias model,偏差模型,,,,,,,,,,,,,,
bias-corrected percentile,偏差修正后百分位数,,,,,,,,,,,,,,
biased estimate,有偏估计量,,,,,,,,,,,,,,
biased coin design,偏币设计,,,,,,,,,,,,,,
biased estimator,有偏估计,,,,,,,,,,,,,,
bias-variance trade-off,偏差-方差权衡、偏差-方差交换,,,,,,,,,,,,,,
bimodal distribution,双峰分布,,,,,,,,,,,,,,
bimodal pattern,双峰模式,,,,,,,,,,,,,,
bin widths,仓宽,,,,,,,,,,,,,,
binary covariate,二分类协变量,,,,,,,,,,,,,,
binary data,二分类数据,,,,,,,,,,,,,,
binary model,二分类模型,,,,,,,,,,,,,,
binary regression,二分类回归,,,,,,,,,,,,,,
binary response,二分类响应,,,,,,,,,,,,,,
binary variable,二分类变量,,,,,,,,,,,,,,
binding futility,绑定无效、有约束无效性,,,,,,,,,,,,,,
binomial and negative binomial distribution paradox,二项式和负二项式分布悖论,,,,,,,,,,,,,,
binomial data,二项分布数据,,,,,,,,,,,,,,
binomial distribution,二项分布,,,,,,,,,,,,,,
binomial probability,二项分布概率,,,,,,,,,,,,,,
binomial variable,二项分布变量,,,,,,,,,,,,,,
bioanalytical assay,生物检定法,,,,,,,,,,,,,,
bioanalytical method validation,生物分析方法验证,,,,,,,,,,,,,,
bioassay,生物检定,,,,,,,,,,,,,,
bioassay study,生物检定研究,,,,,,,,,,,,,,
bioavailability,生物利用度,,,,,,,,,,,,,,
bioequivalence,生物等效性,,,,,,,,,,,,,,
bioequivalence (BE),生物等效性 (BE),,,,,,,,,,,,,,
"Bioequivalence Set, BES",生物等效性集,,,,,,,,,,,,,,
bioequivalence testing,生物等效性检验,,,,,,,,,,,,,,
"Bioequivalence, BE",生物等效性,,,,,,,,,,,,,,
bioinformatics,生物信息学,,,,,,,,,,,,,,
biological assay,生物测定,,,,,,,,,,,,,,
biological efficacy,生物功效,,,,,,,,,,,,,,
biomarker,生物标记物,,,,,,,,,,,,,,
biomarker-adaptive design,生物标志物适应性设计,,,,,,,,,,,,,,
biosimilar products,生物类似产品,,,,,,,,,,,,,,
biostatistics,生物统计学,,,,,,,,,,,,,,
biotherapeutics,生物治疗药物,,,,,,,,,,,,,,
bivariate binary Cox model,二元两分类Cox 模型,,,,,,,,,,,,,,
bivariate normal distribution,二维正态分布,,,,,,,,,,,,,,
bivariate probit models,双变量probit模型,,,,,,,,,,,,,,
bivariate t intersection test,双变量 t 交叉检验,,,,,,,,,,,,,,
Bland-Altman method,Bland-Altman方法,,,,,,,,,,,,,,
Bland-Altman plot,Bland-Altman图,,,,,,,,,,,,,,
"blind（-ing, -ed）",设盲,,,,,,,,,,,,,,
Blinded Analysis,盲态分析,,,,,,,,,,,,,,
Blinded data,盲态数据,,,,,,,,,,,,,,
"Blinded Independent Central Review, BICR",盲态独立中心审查委员会,,,,,,,,,,,,,,
blinded sample size recalculation,盲态下的样本量重新计算,,,,,,,,,,,,,,
Blinded/Non-comparative analysis,盲态/非比较分析方法,,,,,,,,,,,,,,
blinding,盲态,,,,,,,,,,,,,,
block,区组,,,,,,,,,,,,,,
block design,区组设计,,,,,,,,,,,,,,
Block Randomization,区组随机,,,,,,,,,,,,,,
block randomization in parallel design study,区组随机化,,,,,,,,,,,,,,
block size,区组大小,,,,,,,,,,,,,,
blocked randomisation,区组随机化,,,,,,,,,,,,,,
blocking,区组,,,,,,,,,,,,,,
Bonferroni adjusted p-value,Bonferroni 调整后的 p 值,,,,,,,,,,,,,,
Bonferroni adjustment,Bonferroni 调整,,,,,,,,,,,,,,
Bonferroni correction,Bonferroni修正,,,,,,,,,,,,,,
Bonferroni inequality,Bonferroni不等式,,,,,,,,,,,,,,
Bonferroni intersection test,Bonferroni 交叉测试,,,,,,,,,,,,,,
Bonferroni method,Bonferroni法,,,,,,,,,,,,,,
Bonferroni procedure,Bonferroni法,,,,,,,,,,,,,,
Bonferroni tests,Bonferroni 检验,,,,,,,,,,,,,,
Bonferroni t-test,Bonferroni t 检验,,,,,,,,,,,,,,
Bonferroni-adjusted t-test,Bonferroni 调整的 t 检验,,,,,,,,,,,,,,
Bonferroni-Holm stepdown procedure,Bonferroni-Holm 逐级下降法,,,,,,,,,,,,,,
boosting,助推,,,,,,,,,,,,,,
bootstrap,自助法,,,,,,,,,,,,,,
bootstrap estimation,自助法估计,,,,,,,,,,,,,,
bootstrap resampling,自助重抽样,,,,,,,,,,,,,,
bootstrap resampling method,自助重抽样法,,,,,,,,,,,,,,
bounded-response model (Beta model),有界响应模型（Beta 模型）,,,,,,,,,,,,,,
"BOUNDS statement, NLMIXED procedure",BOUNDS 语句，NLMIXED 过程,,,,,,,,,,,,,,
box plot,箱形图,,,,,,,,,,,,,,
Box-Cox algorithm,Box-Cox 算法,,,,,,,,,,,,,,
Bradley-Blackwood test,Bradley-Blackwood 检验,,,,,,,,,,,,,,
Breslow-Day test,Breslow-Day 检验,,,,,,,,,,,,,,
Bridging Study,桥接研究,,,,,,,,,,,,,,
bucket trial,篮式试验,,,,,,,,,,,,,,
bulk material,散料,,,,,,,,,,,,,,
bulk sampling,散料抽样,,,,,,,,,,,,,,
burn-in,老化、退火,,,,,,,,,,,,,,
Byar data,拜亚尔数据,,,,,,,,,,,,,,
calibration,校准；校正,,,,,,,,,,,,,,
calibration curve,校准曲线,,,,,,,,,,,,,,
calibration function,校准函数,,,,,,,,,,,,,,
calibration samples (pre-study validation),校准样品（研究前验证）,,,,,,,,,,,,,,
canonical covariates analysis,典型协变量分析,,,,,,,,,,,,,,
canonical covariates analysis (CCA),典型协变量分析 (CCA),,,,,,,,,,,,,,
canonical discriminant analysis,典型判别分析,,,,,,,,,,,,,,
canonical discriminant analysis (CDA),典型判别分析 (CDA),,,,,,,,,,,,,,
capsule count,胶囊数,,,,,,,,,,,,,,
carryover effect,延滞效应,,,,,,,,,,,,,,
cartogram,统计图,,,,,,,,,,,,,,
"Case Report Form, CRF",病例报告表,,,,,,,,,,,,,,
"Case Report Form, CRF",病例报告表,,,,,,,,,,,,,,
case study,病例研究,,,,,,,,,,,,,,
case–control design,病例对照设计,,,,,,,,,,,,,,
case-control study,病例对照研究,,,,,,,,,,,,,,
case-deletion diagnostic,病例删除诊断,,,,,,,,,,,,,,
categorical data,分类数据,,,,,,,,,,,,,,
categorical endpoint,分类终点,,,,,,,,,,,,,,
categorical variable,分类变量,,,,,,,,,,,,,,
Cauchy distribution,Cauchy 分布,,,,,,,,,,,,,,
causal diagram,因果图,,,,,,,,,,,,,,
Causal Inference,因果推断,,,,,,,,,,,,,,
causal pathway,因果路径,,,,,,,,,,,,,,
causality,因果关系,,,,,,,,,,,,,,
cause-and-effect relationship,因果关系,,,,,,,,,,,,,,
cause-deleted Death rate,去因死亡率,,,,,,,,,,,,,,
cause-effect relationship,因果关系,,,,,,,,,,,,,,
cause-speciﬁc competing risk analysis,特定原因的竞争风险分析,,,,,,,,,,,,,,
cause-specific Death rate,特定原因死亡率,,,,,,,,,,,,,,
cause-speciﬁc hazard function,特定原因风险函数,,,,,,,,,,,,,,
censored,删失,,,,,,,,,,,,,,
censored data,删失数据,,,,,,,,,,,,,,
censored observation,删失观测值,,,,,,,,,,,,,,
censoring,删失,,,,,,,,,,,,,,
census,普查,,,,,,,,,,,,,,
center point,中心点,,,,,,,,,,,,,,
centered probability distribution,中心化概率分布,,,,,,,,,,,,,,
central limit theorem,中心极限定理,,,,,,,,,,,,,,
Central Randomization,中央随机,,,,,,,,,,,,,,
central randomization algorithm,中心随机化算法,,,,,,,,,,,,,,
central screening component,中央筛选组件,,,,,,,,,,,,,,
central tendency,集中趋势,,,,,,,,,,,,,,
Centralized Monitoring,中心化监查,,,,,,,,,,,,,,
centre line,中心线,,,,,,,,,,,,,,
centred random variable,中心化随机变量,,,,,,,,,,,,,,
chain acceptance sampling inspection,链式[验收]抽样检验,,,,,,,,,,,,,,
chance cause,偶然原因,,,,,,,,,,,,,,
change from baseline,较基线的变化,,,,,,,,,,,,,,
change rate,变化率,,,,,,,,,,,,,,
change sensitivity,变化敏感性,,,,,,,,,,,,,,
chaperone role,陪伴角色,,,,,,,,,,,,,,
characteristic,特征,,,,,,,,,,,,,,
chart,图表,,,,,,,,,,,,,,
chi-square curves left end,卡方曲线左端,,,,,,,,,,,,,,
chi-square curves right end,卡方曲线右端,,,,,,,,,,,,,,
chi-square distribution,卡方分布,,,,,,,,,,,,,,
chi-square goodness of fit test,卡方拟合优度检验,,,,,,,,,,,,,,
chi-square Mc Nemar’s test,卡方 McNemar 检验,,,,,,,,,,,,,,
chi-square statistic,卡方统计量,,,,,,,,,,,,,,
chi-square test,卡方检验,,,,,,,,,,,,,,
chi-square test for multiple table,多表卡方检验,,,,,,,,,,,,,,
chronobiology,时间生物学,,,,,,,,,,,,,,
class boundary,组限,,,,,,,,,,,,,,
class interval,组距,,,,,,,,,,,,,,
class limits,组限,,,,,,,,,,,,,,
class of distribution,分布类,,,,,,,,,,,,,,
class width,组距,,,,,,,,,,,,,,
classification,分类,,,,,,,,,,,,,,
Classifier,分类器,,,,,,,,,,,,,,
clearance,清除率,,,,,,,,,,,,,,
clearance number,许可数,,,,,,,,,,,,,,
"Clinical Data Interchange Standards Consortium, CDISC",临床数据交换标准协会,,,,,,,,,,,,,,
clinical dose-ranging study,临床剂量范围研究,,,,,,,,,,,,,,
clinical endpoint,临床终点,,,,,,,,,,,,,,
Clinical Endpoint Committee,终点事件判定委员会,,,,,,,,,,,,,,
"Clinical Event Committee, CEC",终点事件判定委员会,,,,,,,,,,,,,,
clinical observation,临床观察结果,,,,,,,,,,,,,,
"Clinical Outcome Assessment, COA",临床结局评价,,,,,,,,,,,,,,
clinical pharmacokinetic study,临床药代动力学研究,,,,,,,,,,,,,,
Clinical Population,临床人群,,,,,,,,,,,,,,
clinical relevance,临床重要性,,,,,,,,,,,,,,
clinical significance,临床意义,,,,,,,,,,,,,,
clinical study,临床研究,,,,,,,,,,,,,,
"Clinical Study Report, CSR",临床总结报告,,,,,,,,,,,,,,
clinical superiority,临床优效性,,,,,,,,,,,,,,
Clinical Trial,临床试验,,,,,,,,,,,,,,
clinical trial,临床试验,,,,,,,,,,,,,,
clinical trial allocation,临床试验分配,,,,,,,,,,,,,,
clinical trial phase,临床试验分期,,,,,,,,,,,,,,
clinical trial simulation,临床试验模拟,,,,,,,,,,,,,,
clinically significant,有临床意义,,,,,,,,,,,,,,
Clinician-reported Outcome,临床医生报告结局,,,,,,,,,,,,,,
Clopper-Pearson interval,Clopper-Pearson区间,,,,,,,,,,,,,,
closed cohort,封闭队列,,,,,,,,,,,,,,
closed family,封闭族,,,,,,,,,,,,,,
closed family of hypotheses,封闭假设族,,,,,,,,,,,,,,
closed testing on multiple contrasts,多个对比的闭合检验,,,,,,,,,,,,,,
closed testing procedure,闭合检验方法,,,,,,,,,,,,,,
closure principle,封闭原理,,,,,,,,,,,,,,
cluster,群，聚类,,,,,,,,,,,,,,
cluster analysis,聚类分析,,,,,,,,,,,,,,
cluster randomisation,集群随机化，整群随机化,,,,,,,,,,,,,,
cluster Sampling,整群抽样,,,,,,,,,,,,,,
cluster trials,集群试验,,,,,,,,,,,,,,
Cochran Q-test,Cochran Q 检验,,,,,,,,,,,,,,
Cochran-Armitage test,Cochran-Armitage检验,,,,,,,,,,,,,,
Cochran-Armitage trend test (1-sided),Cochran-Armitage趋势检验（单侧）,,,,,,,,,,,,,,
Cochrane database of systematic review,Cochrane 系统评价数据库,,,,,,,,,,,,,,
Cochran-Mantel-Haenszel (CMH) test,Cochran-Mantel-Haenszel （CMH）检验,,,,,,,,,,,,,,
Cochran-Mantel-Haenszel test,Cochran-Mantel-Haenszel 检验,,,,,,,,,,,,,,
Code List,编码列表,,,,,,,,,,,,,,
coeffcient of correlation,相关系数,,,,,,,,,,,,,,
coeffcient of determination,决定系数,,,,,,,,,,,,,,
coeffcient of variation,变异系数,,,,,,,,,,,,,,
coefficient,系数,,,,,,,,,,,,,,
coefficient of kurtosis,峰度系数,,,,,,,,,,,,,,
coefficient of partial correlation,偏相关系数,,,,,,,,,,,,,,
coefficient of regression,回归系数,,,,,,,,,,,,,,
coefficient of skewness,偏度系数,,,,,,,,,,,,,,
coefficient of variation (CV),变异系数,,,,,,,,,,,,,,
coefficieut of variation,变异系数,,,,,,,,,,,,,,
Cohen’s kappa,Cohen kappa 一致性系数,,,,,,,,,,,,,,
Cohen’s weighted kappa coefficient,Cohen加权kappa系数,,,,,,,,,,,,,,
coherence,一致性、贯联性,,,,,,,,,,,,,,
cohort,队列,,,,,,,,,,,,,,
cohort study,队列研究,,,,,,,,,,,,,,
cohort-escalation trial,队列升级试验,,,,,,,,,,,,,,
collapsibility,可折叠性,,,,,,,,,,,,,,
collection of data,数据集,,,,,,,,,,,,,,
Collider Variable,碰撞节点变量,,,,,,,,,,,,,,
collinearity,共线性,,,,,,,,,,,,,,
column,"列,栏",,,,,,,,,,,,,,
combination test,组合测试,,,,,,,,,,,,,,
"combination tests, recursive",组合测试，递归,,,,,,,,,,,,,,
combinative table,组合表,,,,,,,,,,,,,,
combinatorial model,组合模型,,,,,,,,,,,,,,
combined double specification limit,联合双侧规范限,,,,,,,,,,,,,,
combined standard deviation,合并标准差,,,,,,,,,,,,,,
combined variance(or poolled variance),合并方差,,,,,,,,,,,,,,
commensurate prior,相称的先验,,,,,,,,,,,,,,
common control,共同对照,,,,,,,,,,,,,,
"Common Data Model,CDM",通用数据模型,,,,,,,,,,,,,,
"Common Technical Document, CTD",通用技术文档,,,,,,,,,,,,,,
Common Technical Document，CTD,通用技术文档,,,,,,,,,,,,,,
community sites for clinical trials,临床试验社区网站,,,,,,,,,,,,,,
companion diagnostic assay,伴随诊断分析,,,,,,,,,,,,,,
comparability,可比性,,,,,,,,,,,,,,
Comparative Analysis,比较分析,,,,,,,,,,,,,,
Comparative Effectiveness Research，CER,实效比较研究,,,,,,,,,,,,,,
comparative study,比较性研究,,,,,,,,,,,,,,
comparison among treatment groups,试验组间比较,,,,,,,,,,,,,,
comparison between treatment groups,试验组间比较,,,,,,,,,,,,,,
comparisonwise type I error,单次比较I型错误,,,,,,,,,,,,,,
competing risk,竞争风险,,,,,,,,,,,,,,
competing risk model,竞争风险模型,,,,,,,,,,,,,,
complementary event,对立事件,,,,,,,,,,,,,,
complementary log-log binary model,互补双对数二分类模型,,,,,,,,,,,,,,
complementary log-log link function,互补双对数连接函数,,,,,,,,,,,,,,
complete block design,完全区组设计,,,,,,,,,,,,,,
complete case analysis,完整记录分析,,,,,,,,,,,,,,
complete correlation,完全相关,,,,,,,,,,,,,,
Complete Randomization,完全随机,,,,,,,,,,,,,,
complete randomization,完全随机化,,,,,,,,,,,,,,
complete response rate,完全缓解率,,,,,,,,,,,,,,
"Complete Response, CR",完全缓解,,,,,,,,,,,,,,
complete statistics,完备统计量,,,,,,,,,,,,,,
complete survey,全面调查,,,,,,,,,,,,,,
completely random design,完全随机设计,,,,,,,,,,,,,,
completely randomized design,完全随机化设计,,,,,,,,,,,,,,
complex double specification limit,复合双侧规范限,,,,,,,,,,,,,,
compliance,依从性,,,,,,,,,,,,,,
Composite Endpoint,复合结局指标,,,,,,,,,,,,,,
composite endpoint,复合终点,,,,,,,,,,,,,,
